,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,2018-04-09,64.91999799999999,66.25,64.08000200000001,65.190002,63.671055,2639800,0.0
1,1,1,2018-04-10,66.139999,66.790001,65.900002,66.639999,65.087257,1872800,1.9782413412101043
2,2,2,2018-04-11,65.980003,66.599998,65.82,66.08000200000001,64.540329,1391400,2.0084745306151777
3,3,3,2018-04-12,66.559998,67.639999,66.449997,67.199997,65.63421600000001,2180900,1.9833334069940511
4,4,4,2018-04-13,67.5,67.66999799999999,66.879997,67.209999,65.64399,2043900,1.999851182857479
5,5,5,2018-04-16,67.83000200000001,68.370003,67.489998,68.16999799999999,66.581627,2887800,1.985917573299621
6,6,6,2018-04-17,68.599998,68.849998,68.07,68.440002,66.845329,2682600,1.9960548803023122
7,7,7,2018-04-18,69.120003,70.290001,68.650002,69.550003,67.929459,2678300,1.9840402451168835
8,8,8,2018-04-19,69.480003,69.589996,67.360001,67.970001,66.386292,2435100,2.023245578589884
9,9,9,2018-04-20,68.040001,68.260002,67.32,67.550003,65.976074,1917200,2.00621758669648
10,10,10,2018-04-23,67.709999,68.66999799999999,67.529999,68.07,66.48394,2260600,1.9923608491259
11,11,11,2018-04-24,66.389999,67.910004,66.040001,66.639999,65.087257,3701600,2.021458598761383
12,12,12,2018-04-25,66.690002,67.08000200000001,64.910004,65.800003,64.26683,4451600,2.012765896074503
13,13,13,2018-04-26,66.220001,66.760002,65.900002,66.370003,64.82356300000001,1978600,1.9914117828200188
14,14,14,2018-04-27,66.339996,66.559998,65.959999,66.279999,64.73565699999999,1189200,2.0013579360494558
15,15,15,2018-04-30,66.489998,66.660004,65.730003,65.739998,64.208237,2277700,2.0082141925224883
16,16,16,2018-05-01,65.629997,66.349998,65.489998,66.239998,64.696579,3135100,1.9924516905933483
17,17,17,2018-05-02,66.0,66.860001,65.769997,65.910004,64.374275,2240500,2.0050067361549546
18,18,18,2018-05-03,65.769997,66.459999,64.860001,66.339996,64.79425,2365900,1.9935183595730093
19,19,19,2018-05-04,66.029999,67.25,65.540001,67.0,65.43888100000001,1330800,1.9901491940298506
20,20,20,2018-05-07,67.160004,67.980003,67.07,67.389999,65.81980899999999,1468700,1.9942128059684343
21,21,21,2018-05-08,67.08000200000001,67.440002,66.839996,67.370003,65.800247,1916100,2.00029680865533
22,22,22,2018-05-09,67.379997,68.410004,67.150002,68.129997,66.542542,2108500,1.9888449429991901
23,23,23,2018-05-10,68.120003,68.879997,68.120003,68.860001,67.255531,1844900,1.9893987221986829
24,24,24,2018-05-11,69.190002,69.599998,68.910004,69.449997,67.831795,1524200,1.9915047368540566
25,25,25,2018-05-14,69.730003,70.449997,69.0,69.209999,67.597397,3322600,2.0034676781313054
26,26,26,2018-05-15,61.84,64.099998,60.700001,62.5,61.043728,14451200,2.107359984
27,27,27,2018-05-16,62.509997999999996,62.990002000000004,61.650002,61.939999,60.496777,5872500,2.0090410237171623
28,28,28,2018-05-17,61.98,63.91,61.759997999999996,63.59,62.108334,5211300,1.974052508256015
29,29,29,2018-05-18,63.630001,64.599998,63.509997999999996,64.32,62.821323,4163500,1.988650497512438
30,30,30,2018-05-21,64.75,65.989998,64.68,65.550003,64.02265899999999,4527300,1.9812356530326931
31,31,31,2018-05-22,65.620003,65.889999,64.690002,64.839996,63.329197,3415500,2.0109501394787253
32,32,32,2018-05-23,64.209999,65.0,64.209999,64.529999,63.02643199999999,3222400,2.004803920731504
33,33,33,2018-05-24,64.620003,65.0,64.07,64.120003,62.625983999999995,1525800,2.006394198078874
34,34,34,2018-05-25,63.939999,64.110001,62.84,63.150002,61.678589,1742000,2.0153602687138474
35,35,35,2018-05-29,62.630001,62.669998,61.299999,61.849998,60.408875,3559200,2.0210186587233196
36,36,36,2018-05-30,62.240002000000004,63.060001,62.0,62.689999,61.229301,1731500,1.986600717604095
37,37,37,2018-05-31,62.650002,62.830002,61.849998,61.919998,60.477238,2510400,2.0124354170683274
38,38,38,2018-06-01,62.470001,63.23,62.439999,62.779999,61.317204000000004,2277900,1.9863013537161733
39,39,39,2018-06-04,63.169998,63.509997999999996,62.759997999999996,63.380001,61.903229,1958000,1.9905332598527412
40,40,40,2018-06-05,63.459998999999996,63.869999,63.09,63.52,62.039958999999996,1889500,1.9977959855163727
41,41,41,2018-06-06,63.75,65.190002,63.060001,65.190002,63.671055,3177600,1.9743825441207992
42,42,42,2018-06-07,65.410004,66.089996,64.800003,65.230003,63.710125,2977200,1.9993867699193577
43,43,43,2018-06-08,65.349998,66.370003,65.150002,65.730003,64.198479,3853800,1.9923931237307262
44,44,44,2018-06-11,65.68,66.75,65.589996,66.129997,64.589149,3316700,1.9939513984856223
45,45,45,2018-06-12,65.970001,66.550003,65.629997,66.32,64.77471899999999,2007000,1.9971350572979494
46,46,46,2018-06-13,66.599998,66.68,65.970001,66.260002,64.71611800000001,4357700,2.000905493483082
47,47,47,2018-06-14,66.449997,66.449997,65.709999,66.309998,64.764954,3487900,1.9992460262176452
48,48,48,2018-06-15,66.110001,66.239998,65.190002,66.129997,64.589149,4113200,2.002721926631873
49,49,49,2018-06-18,65.480003,65.540001,64.529999,64.970001,63.456168999999996,2563100,2.0178543324941614
50,50,50,2018-06-19,64.220001,64.449997,63.200001,63.52,62.039958999999996,4621400,2.0228274716624686
